relative_day,window_days,impressions,attributed_conversions
0,1,572035.0,8036.0
0,7,572035.0,11260.0
0,30,572035.0,14091.0
1,1,556092.0,7613.0
1,7,556092.0,10606.0
1,30,556092.0,13149.0
2,1,530015.0,7165.0
2,7,530015.0,10264.0
2,30,530015.0,12750.0
3,1,498596.0,6701.0
3,7,498596.0,9425.0
3,30,498596.0,12017.0
4,1,591180.0,8337.0
4,7,591180.0,11513.0
4,30,591180.0,14564.0
5,1,638165.0,8817.0
5,7,638165.0,12171.0
5,30,638165.0,15354.0
6,1,580979.0,8251.0
6,7,580979.0,11323.0
6,30,580979.0,14233.0
7,1,546166.0,7888.0
7,7,546166.0,10778.0
7,30,546166.0,13507.0
8,1,564794.0,7809.0
8,7,564794.0,10798.0
8,30,564794.0,13706.0
9,1,500383.0,6969.0
9,7,500383.0,9849.0
9,30,500383.0,12538.0
10,1,460907.0,6422.0
10,7,460907.0,9115.0
10,30,460907.0,11786.0
11,1,574411.0,7874.0
11,7,574411.0,11046.0
11,30,574411.0,14351.0
12,1,609323.0,8229.0
12,7,609323.0,11535.0
12,30,609323.0,14800.0
13,1,553089.0,7836.0
13,7,553089.0,10884.0
13,30,553089.0,13958.0
14,1,522063.0,7617.0
14,7,522063.0,10475.0
14,30,522063.0,13448.0
15,1,505808.0,7446.0
15,7,505808.0,10277.0
15,30,505808.0,13114.0
16,1,477680.0,7257.0
16,7,477680.0,10231.0
16,30,477680.0,13120.0
17,1,450258.0,6721.0
17,7,450258.0,9422.0
17,30,450258.0,12339.0
18,1,538532.0,8271.0
18,7,538532.0,11281.0
18,30,538532.0,14930.0
19,1,582350.0,8115.0
19,7,582350.0,11480.0
19,30,582350.0,15122.0
20,1,552965.0,7741.0
20,7,552965.0,10867.0
20,30,552965.0,14662.0
21,1,562085.0,7596.0
21,7,562085.0,10726.0
21,30,562085.0,14657.0
22,1,528347.0,7323.0
22,7,528347.0,10308.0
22,30,528347.0,14179.0
23,1,506792.0,6465.0
23,7,506792.0,9377.0
23,30,506792.0,13339.0
24,1,436408.0,5626.0
24,7,436408.0,8174.0
24,30,436408.0,12001.0
25,1,507128.0,6517.0
25,7,507128.0,9497.0
25,30,507128.0,14066.0
26,1,581336.0,6874.0
26,7,581336.0,10307.0
26,30,581336.0,15690.0
27,1,518487.0,6839.0
27,7,518487.0,10311.0
27,30,518487.0,15516.0
28,1,459375.0,6311.0
28,7,459375.0,9790.0
28,30,459375.0,14902.0
29,1,493827.0,6866.0
29,7,493827.0,11383.0
29,30,493827.0,17651.0
30,1,468451.0,6493.0
30,7,468451.0,11960.0
30,30,468451.0,19190.0
