arm,dimension,metric,chi_square,df,p_value,q_bh
Mens E-Mail,geo_class,conversion,0.571800680858432,2,0.7513374901876426,0.8196408983865192
Mens E-Mail,geo_class,revenue,0.046516411996327,2,0.9770101813125928,0.9770101813125928
Mens E-Mail,newbie,conversion,0.41646082764032966,1,0.5187083261964504,0.6224499914357404
Mens E-Mail,newbie,revenue,1.7277249742556742,1,0.1887017003050167,0.45288408073204006
Mens E-Mail,channel,conversion,2.321924630236909,2,0.3131846534967655,0.46609486496200475
Mens E-Mail,channel,revenue,2.216413157973059,2,0.3301505293480867,0.46609486496200475
Mens E-Mail,history_segment,conversion,7.641349290884714,6,0.26557370227262767,0.46609486496200475
Mens E-Mail,history_segment,revenue,5.255303238352104,6,0.5115101439908909,0.6224499914357404
Mens E-Mail,mens,conversion,1.1584058243968394,1,0.2817964039140776,0.46609486496200475
Mens E-Mail,mens,revenue,0.9877611114335167,1,0.3202901947392605,0.46609486496200475
Mens E-Mail,womens,conversion,0.6124421599442101,1,0.43386977275466276,0.5784930303395504
Mens E-Mail,womens,revenue,0.29188343774380604,1,0.5890160995140469,0.6731612565874822
Womens E-Mail,geo_class,conversion,0.3711908119022488,2,0.8306095867029429,0.8667230469943752
Womens E-Mail,geo_class,revenue,3.0759102599014416,2,0.21481993144268163,0.46609486496200475
Womens E-Mail,newbie,conversion,6.95413941277196,1,0.008362551557036328,0.10035061868443594
Womens E-Mail,newbie,revenue,5.621409226500557,1,0.017742377195475688,0.1419390175638055
Womens E-Mail,channel,conversion,3.387277223782729,2,0.1838493490514534,0.45288408073204006
Womens E-Mail,channel,revenue,3.5847743541813246,2,0.16656208151745974,0.45288408073204006
Womens E-Mail,history_segment,conversion,13.537537136117992,6,0.03525107657315748,0.16638238386109946
Womens E-Mail,history_segment,revenue,13.092157707838204,6,0.041595595965274866,0.16638238386109946
Womens E-Mail,mens,conversion,4.803172119491718,1,0.028407386980788818,0.16638238386109946
Womens E-Mail,mens,revenue,2.1391353798902037,1,0.1435827956081122,0.45288408073204006
Womens E-Mail,womens,conversion,7.700479053103598,1,0.0055206171477718054,0.10035061868443594
Womens E-Mail,womens,revenue,1.0093139131775755,1,0.3150672602873179,0.46609486496200475
