window_days,metric,method_a,method_b,cohort_campaigns,paired_campaigns,spearman_rho,mean_absolute_rank_change,max_absolute_rank_change,campaigns_with_rank_change,top10_a,top10_b,top10_overlap,top10_jaccard
1,credited_conversions,first_click_proxy,first_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
1,credited_conversions,first_click_proxy,last_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
1,credited_conversions,first_click_proxy,linear_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
1,credited_conversions,first_click_proxy,publisher,286,286,0.9376646497249339,21.541958041958043,91.0,272,10,10,9,0.8181818181818182
1,credited_conversions,last_click_proxy,first_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
1,credited_conversions,last_click_proxy,last_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
1,credited_conversions,last_click_proxy,linear_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
1,credited_conversions,last_click_proxy,publisher,286,286,0.9376646497249339,21.541958041958043,91.0,272,10,10,9,0.8181818181818182
1,credited_conversions,linear_proxy,first_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
1,credited_conversions,linear_proxy,last_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
1,credited_conversions,linear_proxy,linear_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
1,credited_conversions,linear_proxy,publisher,286,286,0.9376646497249339,21.541958041958043,91.0,272,10,10,9,0.8181818181818182
1,credited_conversions,publisher,first_click_proxy,286,286,0.9376646497249338,21.541958041958043,91.0,272,10,10,9,0.8181818181818182
1,credited_conversions,publisher,last_click_proxy,286,286,0.9376646497249338,21.541958041958043,91.0,272,10,10,9,0.8181818181818182
1,credited_conversions,publisher,linear_proxy,286,286,0.9376646497249338,21.541958041958043,91.0,272,10,10,9,0.8181818181818182
1,credited_conversions,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,first_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,first_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,first_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,first_click_proxy,publisher,286,286,0.8580731207175365,31.356643356643357,157.0,270,10,10,9,0.8181818181818182
1,transformed_cost_per_attributed_conversion,last_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,last_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,last_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,last_click_proxy,publisher,286,286,0.8580731207175365,31.356643356643357,157.0,270,10,10,9,0.8181818181818182
1,transformed_cost_per_attributed_conversion,linear_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,linear_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,linear_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,transformed_cost_per_attributed_conversion,linear_proxy,publisher,286,286,0.8580731207175365,31.356643356643357,157.0,270,10,10,9,0.8181818181818182
1,transformed_cost_per_attributed_conversion,publisher,first_click_proxy,286,286,0.8580731207175365,31.356643356643357,157.0,270,10,10,9,0.8181818181818182
1,transformed_cost_per_attributed_conversion,publisher,last_click_proxy,286,286,0.8580731207175365,31.356643356643357,157.0,270,10,10,9,0.8181818181818182
1,transformed_cost_per_attributed_conversion,publisher,linear_proxy,286,286,0.8580731207175365,31.356643356643357,157.0,270,10,10,9,0.8181818181818182
1,transformed_cost_per_attributed_conversion,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,attributed_conversion_share,first_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,attributed_conversion_share,first_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,attributed_conversion_share,first_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,attributed_conversion_share,first_click_proxy,publisher,286,286,0.43464553519308974,70.06993006993007,266.0,285,10,10,2,0.1111111111111111
1,attributed_conversion_share,last_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
1,attributed_conversion_share,last_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
