relative_day,impressions,unique_users,clicks,ctr,transformed_cost,replay_duplicate_rate,malformed_conversion_key_rate,conversions,attributed_conversions,attribution_rate,original_missing_event_rate,original_duplicate_event_rate,boundary_day
0,572035,457888,199240.0,0.3483003662363317,154.70108197112324,0.0,0.0,14091,7650,0.5428997232275921,,,1
1,556092,445698,191217.0,0.343858570164649,154.1431840946217,0.0,0.0,13149,7248,0.5512206251425964,,,0
2,530015,425341,185646.0,0.35026555852192864,146.85204737559755,0.0,0.0,12750,6997,0.5487843137254902,,,0
3,498596,399911,178933.0,0.35887371739845486,136.24571104288475,0.0,0.0,12017,6517,0.5423150536739619,,,0
4,591180,471549,210162.0,0.3554957880848473,167.56820613792846,0.0,0.0,14564,7882,0.5411974732216424,,,0
5,638165,509210,216961.0,0.3399763384077786,174.81309564293866,0.0,0.0,15354,8231,0.5360818027875472,,,0
6,580979,467263,200642.0,0.3453515531542448,160.97037872601715,0.0,0.0,14233,7787,0.5471088315885618,,,0
7,546166,441866,190126.0,0.3481102814895105,155.61073528681044,0.0,0.0,13507,7367,0.5454208928703635,,,0
8,564794,457075,197149.0,0.34906355237484815,152.61227186605046,0.0,0.0,13706,7415,0.5410039398803443,,,0
9,500383,405592,179719.0,0.3591628812329755,137.77191985280123,0.0,0.0,12538,6756,0.538841920561493,,,0
10,460907,371746,171999.0,0.3731750656857023,124.62394073916897,0.0,0.0,11786,6392,0.542338367554726,,,0
11,574411,461043,210192.0,0.36592613999383716,153.70908525068,0.0,0.0,14351,7788,0.5426799526165424,,,0
12,609323,487773,212855.0,0.34933032234135264,159.84416126782716,0.0,0.0,14800,7905,0.5341216216216216,,,0
13,553089,445528,197565.0,0.3572029094774982,150.08132351698407,0.0,0.0,13958,7506,0.5377561255194154,,,0
14,522063,422262,187481.0,0.3591156622859693,144.37729486499492,0.0,0.0,13448,7341,0.5458804283164783,,,0
15,505808,409279,184257.0,0.36428249454338407,148.24213163612356,0.0,0.0,13114,7226,0.5510141833155406,,,0
16,477680,385375,178684.0,0.3740663205493217,153.9742769674306,0.0,0.0,13120,6921,0.527515243902439,,,0
17,450258,361854,172509.0,0.38313367002918325,144.78057303475225,0.0,0.0,12339,6410,0.5194910446551585,,,0
18,538532,431237,204091.0,0.3789765510684602,177.57028177851322,0.0,0.0,14930,7826,0.5241795043536503,,,0
19,582350,467768,212241.0,0.3644560831115309,188.01795624803964,0.0,0.0,15122,8093,0.5351805316757042,,,0
20,552965,446217,202913.0,0.36695450887488357,185.8257527908774,0.0,0.0,14662,7988,0.5448097121811486,,,0
21,562085,453334,205782.0,0.3661047706307765,180.732903055632,0.0,0.0,14657,7980,0.5444497509722317,,,0
22,528347,425606,195055.0,0.3691797246885096,164.15235248588712,0.0,0.0,14179,7723,0.5446787502644757,,,0
23,506792,408715,186589.0,0.36817668787194746,157.16917340756285,0.0,0.0,13339,7279,0.5456930804408127,,,0
24,436408,354369,164916.0,0.3778940807684552,132.78375312559717,0.0,0.0,12001,6506,0.5421214898758436,,,0
25,507128,411301,188189.0,0.37108777271221466,149.6595206544081,0.0,0.0,14066,7749,0.55090288639272,,,0
26,581336,469014,206145.0,0.3546055981394581,169.34223359251533,0.0,0.0,15690,8208,0.5231357552581262,,,0
27,518487,420463,185940.0,0.35862037042394507,159.1823051304003,0.0,0.0,15516,8307,0.5353828306264501,,,0
28,459375,376364,168527.0,0.3668614965986395,141.81208545501977,0.0,0.0,14902,8051,0.540263051939337,,,0
29,493827,398638,185143.0,0.37491469684727646,157.66608138241457,0.0,0.0,17651,9655,0.5469945045606481,,,0
30,468451,379098,176695.0,0.37718993021682096,144.50472257112125,0.0,0.0,19190,10453,0.5447107868681605,,,1
