relative_day,metric,observed_value,baseline,deviation,z_score,severity
0,impressions,572035.0,,,,boundary_excluded
1,impressions,556092.0,,,,warmup
2,impressions,530015.0,,,,warmup
3,impressions,498596.0,,,,warmup
4,impressions,591180.0,,,,warmup
5,impressions,638165.0,,,,warmup
6,impressions,580979.0,,,,warmup
7,impressions,546166.0,,,,warmup
8,impressions,564794.0,563027.5714285715,1766.4285714285215,0.03895988378726899,normal
9,impressions,500383.0,564270.7142857143,-63887.71428571432,-1.4122888439012136,normal
10,impressions,460907.0,560037.5714285715,-99130.57142857148,-1.9785879006441975,normal
11,impressions,574411.0,554653.4285714285,19757.57142857148,0.33468226782014754,normal
12,impressions,609323.0,552257.8571428572,57065.14285714284,0.9902321725591652,normal
13,impressions,553089.0,548137.5714285715,4951.4285714285215,0.09684664639491311,normal
14,impressions,522063.0,544153.2857142857,-22090.28571428568,-0.4490745842140032,normal
15,impressions,505808.0,540710.0,-34902.0,-0.6999258963100171,normal
16,impressions,477680.0,532283.4285714285,-54603.42857142852,-1.0898787700920758,normal
17,impressions,450258.0,529040.1428571428,-78782.14285714284,-1.4822138056798553,normal
18,impressions,538532.0,527518.8571428572,11013.14285714284,0.19834164755771522,normal
19,impressions,582350.0,522393.28571428574,59956.71428571426,1.1525372212946428,normal
20,impressions,552965.0,518540.0,34425.0,0.7643235414287078,normal
21,impressions,562085.0,518522.28571428574,43562.71428571426,0.9675443887609222,normal
22,impressions,528347.0,524239.71428571426,4107.285714285739,0.08558296643288751,normal
23,impressions,506792.0,527459.5714285715,-20667.57142857148,-0.4369442485878485,normal
24,impressions,436408.0,531618.4285714285,-95210.42857142852,-2.1986000245345347,normal
25,impressions,507128.0,529639.8571428572,-22511.85714285716,-0.47163044394112225,normal
26,impressions,581336.0,525153.5714285715,56182.42857142852,1.1648820558301478,normal
27,impressions,518487.0,525008.7142857143,-6521.714285714319,-0.13578181865301855,normal
28,impressions,459375.0,520083.28571428574,-60708.28571428574,-1.3076007987677596,normal
29,impressions,493827.0,505410.4285714286,-11583.42857142858,-0.24559367463682633,normal
30,impressions,468451.0,500479.0,-32028.0,-0.6938308518333617,boundary_excluded
0,clicks,199240.0,,,,boundary_excluded
1,clicks,191217.0,,,,warmup
2,clicks,185646.0,,,,warmup
3,clicks,178933.0,,,,warmup
4,clicks,210162.0,,,,warmup
5,clicks,216961.0,,,,warmup
6,clicks,200642.0,,,,warmup
7,clicks,190126.0,,,,warmup
8,clicks,197149.0,196241.0,908.0,0.06654988411890539,normal
9,clicks,179719.0,197088.42857142858,-17369.42857142858,-1.290172873566429,normal
10,clicks,171999.0,196241.7142857143,-24242.71428571429,-1.677410338555856,normal
11,clicks,210192.0,195251.14285714287,14940.85714285713,0.9342624645211942,normal
12,clicks,212855.0,195255.42857142858,17599.57142857142,1.100192815737762,normal
13,clicks,197565.0,194668.85714285713,2896.1428571428696,0.19155046587409913,normal
14,clicks,187481.0,194229.2857142857,-6748.28571428571,-0.4510653476838237,normal
15,clicks,184257.0,193851.42857142858,-9594.42857142858,-0.6347917530191924,normal
16,clicks,178684.0,192009.7142857143,-13325.71428571429,-0.863751503336721,normal
17,clicks,172509.0,191861.85714285713,-19352.85714285713,-1.2430019106684165,normal
18,clicks,204091.0,191934.7142857143,12156.28571428571,0.786212471600497,normal
19,clicks,212241.0,191063.14285714287,21177.85714285713,1.471051712498379,normal
20,clicks,202913.0,190975.42857142858,11937.57142857142,0.8381623962151646,normal
21,clicks,205782.0,191739.42857142858,14042.57142857142,0.949596193970519,normal
22,clicks,195055.0,194353.85714285713,701.1428571428696,0.04520662005259922,normal
23,clicks,186589.0,195896.42857142858,-9307.42857142858,-0.626274270644898,normal
24,clicks,164916.0,197025.7142857143,-32109.71428571429,-2.364340875559641,normal
25,clicks,188189.0,195941.0,-7752.0,-0.4857091230172009,normal
