decile,sample_size,mean_predicted_lift,n_treatment,n_control,treatment_events,control_events,treatment_rate,control_rate,absolute_lift,relative_lift,ci_low,ci_high,p_value,incremental_per_100k,incremental_per_100k_low,incremental_per_100k_high
1,55907,0.011985576390675708,48264,7643,1078,104,0.02233548814851649,0.013607222294910376,0.008728265853606115,0.6414436146068417,0.005601417551018354,0.011453810698269326,8.291983853323146e-07,872.8265853606115,560.1417551018354,1145.3810698269326
2,55906,0.0007663927477244382,47533,8373,81,10,0.0017040792712431363,0.0011943150603129105,0.0005097642109302258,0.426825573811878,-0.0005468999814790356,0.0011940563458446762,0.2859983183505802,50.97642109302258,-54.689998147903566,119.40563458446762
3,55907,0.0002266403985365282,47544,8363,32,3,0.0006730607437321219,0.0003587229463111324,0.00031433779742098947,0.8762689999439116,-0.00040833226281202455,0.0006786433884082474,0.28923164292649917,31.433779742098945,-40.83322628120246,67.86433884082474
4,55906,5.774619956560446e-05,47448,8458,12,2,0.00025290844714213456,0.00023646252069047056,1.6445926451663997e-05,0.06954982296408704,-0.0006182224048854897,0.000271835907024551,0.9298269212366224,1.6445926451663997,-61.82224048854897,27.183590702455103
5,55906,2.9481033021057434e-05,47108,8798,1,1,2.1227816931306783e-05,0.00011366219595362583,-9.243437902231904e-05,-0.8132376666383629,-0.0006226592256732607,4.38181648401941e-05,0.18330241466136343,-9.243437902231904,-62.26592256732607,4.38181648401941
6,55907,2.4126588307509705e-05,48286,7621,9,0,0.00018638942964834527,0.0,0.00018638942964834527,,-0.0003251023811415898,0.0003542331726987619,0.23328780135502492,18.638942964834527,-32.51023811415898,35.423317269876186
7,55906,2.0026755609934568e-05,49832,6074,3,1,6.0202279659656446e-05,0.00016463615409944023,-0.00010443387443978379,-0.6343313533472468,-0.0008728699194649454,7.451454880787536e-05,0.3636212359440959,-10.443387443978379,-87.28699194649454,7.451454880787536
8,55907,1.782791903558359e-05,44365,11542,0,0,0.0,0.0,0.0,,-0.0003327136297856716,8.658010203533117e-05,1.0,0.0,-33.27136297856716,8.658010203533117
9,55906,5.049184049414429e-07,47520,8386,8,0,0.00016835016835016836,0.0,0.00016835016835016836,,-0.00029698938851245777,0.0003321957646075052,0.23472689221070575,16.835016835016837,-29.698938851245778,33.219576460750524
10,55906,-0.0019700612934750333,47500,8406,278,30,0.005852631578947369,0.0035688793718772305,0.0022837522070701384,0.6399073684210528,0.0006305412104600488,0.003575550257339028,0.00912213821070252,228.37522070701385,63.05412104600488,357.55502573390277
