model,window_days,credited_conversions,benchmark_conversions,absolute_difference,percentage_difference,additional_vs_previous_window
first_click_proxy,1,228025.0,237157,-9132.0,-3.850613728458363,
first_click_proxy,7,326433.0,237157,89276.0,37.644260974797284,98408.0
first_click_proxy,14,375266.0,237157,138109.0,58.23526187293649,48833.0
first_click_proxy,30,438730.0,237157,201573.0,84.99559363628313,63464.0
last_click_proxy,1,228025.0,237157,-9132.0,-3.850613728458363,
last_click_proxy,7,326433.0,237157,89276.0,37.644260974797284,98408.0
last_click_proxy,14,375266.0,237157,138109.0,58.23526187293649,48833.0
last_click_proxy,30,438730.0,237157,201573.0,84.99559363628313,63464.0
linear_proxy,1,228025.0000000722,237157,-9131.999999927793,-3.8506137284279163,
linear_proxy,7,326433.00000014016,237157,89276.00000014016,37.64426097485639,98408.00000006796
linear_proxy,14,375266.00000004284,237157,138109.00000004284,58.23526187295456,48832.99999990268
linear_proxy,30,438729.99999982456,237157,201572.99999982456,84.99559363620916,63463.99999978172
publisher,1,237157.0,237157,0.0,0.0,
publisher,7,237157.0,237157,0.0,0.0,0.0
publisher,14,237157.0,237157,0.0,0.0,0.0
publisher,30,237157.0,237157,0.0,0.0,0.0
